comid,gnis_name_shapefile,name,name_source,gnis_id,gnis_name_raw,gnis_class,gnis_state,n_candidates,distance_m,alternatives
24093804,Lake of the Woods,Lake of the Woods,shapefile,1161601,Lake of the Woods,Lake,Oregon,1,487.0,
3917046,Lake Shastina,Lake Shastina,shapefile,267233,Lake Shastina,Lake,California,1,249.6,
15012277,Camp Far West Reservoir,Camp Far West Reservoir,shapefile,220455,Camp Far West Reservoir,Reservoir,California,1,114.6,
2775024,Bucks Lake,Bucks Lake,shapefile,266504,Bucks Lake,Reservoir,California,1,282.7,
120053833,Loon Lake,Loon Lake,shapefile,254937,Loon Lake,Reservoir,California,1,290.3,
2772516,Butt Valley Reservoir,Butt Valley Reservoir,shapefile,257757,Butt Valley Reservoir,Reservoir,California,1,372.0,
120053229,Little Grass Valley Reservoir,Little Grass Valley Reservoir,shapefile,262610,Little Grass Valley Reservoir,Reservoir,California,1,326.4,
17055346,Pardee Reservoir,Pardee Reservoir,shapefile,230339,Pardee Reservoir,Reservoir,California,1,457.9,
17080605,Lake Eleanor,Lake Eleanor,shapefile,259830,Lake Eleanor,Reservoir,California,1,376.1,
17568965,Castaic Lake,Castaic Lake,shapefile,1802841,Castaic Lake,Reservoir,California,1,528.8,
1311881,Green Mountain Reservoir,Green Mountain Reservoir,shapefile,196488,Green Mountain Reservoir,Reservoir,Colorado,1,216.8,
1230577,Williams Fork Reservoir,Williams Fork Reservoir,shapefile,173267,Williams Fork Reservoir,Reservoir,Colorado,1,532.8,
120052686,Blue Mesa Reservoir,Blue Mesa Reservoir,shapefile,,,,,0,,
3192800,Lake Viva Naughton,Lake Viva Naughton,shapefile,1584686,Lake Viva Naughton,Reservoir,Wyoming,1,442.0,
18327540,Boulder Lake,Boulder Lake,shapefile,1598325,Boulder Lake,Reservoir,Wyoming,1,430.7,
20475378,Lake Pleasant,Lake Pleasant,shapefile,9580,Lake Pleasant,Reservoir,Arizona,1,168.4,
10273702,Pineview Reservoir,Pineview Reservoir,shapefile,1444422,Pineview Reservoir,Reservoir,Utah,1,394.5,
1768752,Whiteface Reservoir,Whiteface Reservoir,shapefile,662793,Whiteface Reservoir,Reservoir,Minnesota,1,97.6,
4796552,Devils Track Lake,Devils Track Lake,shapefile,655982,Devil Track Lake,Lake,Minnesota,1,410.1,
11928976,Otter Lake,Otter Lake,shapefile,634195,Otter Lake,Lake,Michigan,1,508.0,
12016828,Muskallonge Lake,Muskallonge Lake,shapefile,633161,Muskallonge Lake,Lake,Michigan,1,482.0,
12026156,Silver Lake Basin,Silver Lake Basin,shapefile,637959,Silver Lake Basin,Reservoir,Michigan,1,289.3,
11949795,Michigan Bay,Michigan Bay,shapefile,1619509,Cisco Lake,Lake,Michigan,12,415.7,Mamie Lake; Thousand Island Lake; Lindsley Lake
15585938,Ladue Resevoir,Ladue Resevoir,shapefile,1078936,Akron City Reservoir,Reservoir,Ohio,1,124.4,
15538805,Conesus Lake,Conesus Lake,shapefile,947265,Conesus Lake,Lake,New York,1,516.6,
22026276,Cazenovia Lake,Cazenovia Lake,shapefile,946092,Cazenovia Lake,Lake,New York,1,449.0,
22026932,Otisco Lake,Otisco Lake,shapefile,970435,Otisco Lake,Reservoir,New York,1,283.9,
15466283,Little Tupper Lake,Little Tupper Lake,shapefile,962978,Round Lake,Lake,New York,2,497.2,Little Tupper Lake
15483673,Lake Bonaparte,Lake Bonaparte,shapefile,944416,Lake Bonaparte,Lake,New York,1,59.8,
15509836,Fulton Chain Lake,Fulton Chain Lake,shapefile,950796,Fulton Chain Lakes,Lake,New York,5,448.6,Third Lake; Fourth Lake; First Lake
