comid,gnis_name_shapefile,name,name_source,gnis_id,gnis_name_raw,gnis_class,gnis_state,n_candidates,distance_m,alternatives
120053990,,Arrowrock Reservoir,gnis_inside,397393,Arrowrock Reservoir,Reservoir,Idaho,2,2779.7,Lucky Peak Lake
23393893,,Anderson Ranch Reservoir,gnis_inside,397380,Anderson Ranch Reservoir,Reservoir,Idaho,1,6161.3,
120053992,,"Lowell, Lake",gnis_inside,397878,Lake Lowell,Reservoir,Idaho,1,600.0,
24181193,,Payette Lake,gnis_inside,388282,Payette Lake,Lake,Idaho,1,747.8,
24181233,,Little Payette Lake,gnis_inside,397859,Little Payette Lake,Reservoir,Idaho,1,441.0,
120054056,,"Cascade, Lake",gnis_inside,378977,Lake Cascade,Reservoir,Idaho,1,3970.0,
24189308,,Lost Valley Reservoir,gnis_inside,397875,Lost Valley Reservoir,Reservoir,Idaho,1,113.6,
24189376,,Crane Creek Reservoir,gnis_inside,372237,Crane Creek Reservoir,Reservoir,Idaho,1,1552.3,
120053988,,C J Strike Reservoir,gnis_inside,399812,C J Strike Reservoir,Reservoir,Idaho,1,1425.7,
23634782,,Dworshak Reservoir,gnis_inside,397663,Dworshak Reservoir,Reservoir,Idaho,1,15196.9,
23473458,Rock Lake,Rock Lake,shapefile,1507857,Rock Lake,Lake,Washington,1,356.3,
23491403,,Alturas Lake,gnis_inside,376583,Alturas Lake,Lake,Idaho,1,92.5,
23655210,,McKay Reservoir,gnis_inside,1132097,McKay Reservoir,Reservoir,Oregon,1,327.6,
23703727,,"Billy Chinook, Lake",gnis_inside,1138120,Lake Billy Chinook,Reservoir,Oregon,1,7242.2,
23704095,,Crane Prairie Reservoir,gnis_inside,1140386,Crane Prairie Reservoir,Reservoir,Oregon,1,1262.1,
23704143,,Wickiup Reservoir,gnis_inside,1161711,Wickiup Reservoir,Reservoir,Oregon,1,907.9,
23704173,,Davis Lake,gnis_inside,1140666,Davis Lake,Lake,Oregon,1,105.6,
23704191,,Odell Lake,gnis_inside,1147159,Odell Lake,Lake,Oregon,1,380.6,
23707624,,East Lake,gnis_inside,1141624,East Lake,Lake,Oregon,1,52.8,
23707632,,Paulina Lake,gnis_inside,1147502,Paulina Lake,Lake,Oregon,1,268.4,
23707652,,Crescent Lake,gnis_inside,1158186,Crescent Lake,Lake,Oregon,1,344.4,
23707664,,Summit Lake,gnis_inside,1150624,Summit Lake,Lake,Oregon,1,42.8,
23655136,,Cold Springs Reservoir,gnis_inside,1119125,Cold Springs Reservoir,Reservoir,Oregon,1,733.1,
947070203,Lake Wallula,Lake Wallula,shapefile,1513406,Villard Pond (historical),Lake,Washington,1,6004.6,
947070204,Lake Umatilla,Lake Umatilla,shapefile,,,,,0,,
23740507,Vancouver Lake,Vancouver Lake,shapefile,1509209,Vancouver Lake,Lake,Washington,1,235.5,
24245701,,Swift Reservoir,gnis_inside,1526865,Swift Reservoir,Reservoir,Washington,1,1221.8,
24245713,,Yale Lake,gnis_inside,1528347,Yale Lake,Reservoir,Washington,1,877.4,
24245783,Thomas Lake,Thomas Lake,shapefile,1523015,Lake Merwin,Reservoir,Washington,1,482.0,
